id,session_num,time_clip,time,place,place_raw,scale,scale_order
88,1,1:00:39,1900-01-01 01:00:39,Mexico,Chile,country,6
89,1,1:00:39,1900-01-01 01:00:39,Mexico,Cuba,country,6
90,1,1:01:07,1900-01-01 01:01:07,Mexico,Mexico,country,6
91,1,1:01:15,1900-01-01 01:01:15,"Cap-Haitien, Haiti",Cap-Haitien; Haiti,city / area,4
92,1,1:06:16,1900-01-01 01:06:16,"Montreal, Canada",Montreal; Canada,city / area,4
93,1,1:06:33,1900-01-01 01:06:33,"Montreal, Canada",Montreal; Canada,city / area,4
94,1,1:07:50,1900-01-01 01:07:50,"Quebec, Canada",Quebec; Canada,region,5
95,1,1:07:57,1900-01-01 01:07:57,"Quebec, Canada",Quebec; Canada,region,5
96,1,1:08:03,1900-01-01 01:08:03,"Quebec, Canada",Quebec; Canada,region,5
97,1,1:08:32,1900-01-01 01:08:32,"Quebec, Canada",Quebec; Canada,region,5
98,1,1:08:48,1900-01-01 01:08:48,Cuba,Cuba,country,6
99,1,1:08:53,1900-01-01 01:08:53,Chile, Chile,country,6
100,1,1:09:20,1900-01-01 01:09:20,"Quebec, Canada",Quebec; Canada,region,5
101,1,1:10:12,1900-01-01 01:10:12,Cuba,Cuba,country,6
102,1,1:11:25,1900-01-01 01:11:25,Haiti,Haiti,country,6
103,1,1:11:49,1900-01-01 01:11:49,"Maison D'Haïti, Montreal, Canada",Maison D'Haïti; Montreal; Canada,very local,2
104,1,1:12:06,1900-01-01 01:12:06,"Maison D'Haïti, Montreal, Canada",Maison D'Haïti; Montreal; Canada,very local,2
105,1,1:12:36,1900-01-01 01:12:36,Cuba,Cuba,country,6
106,1,1:12:42,1900-01-01 01:12:42,Cuba,Cuba,country,6
107,1,1:15:38,1900-01-01 01:15:38,Haiti,Haiti,country,6
108,1,1:16:22,1900-01-01 01:16:22,unknown,unknown,null,8
109,1,1:16:26,1900-01-01 01:16:26,"Plain of the Cul-de-Sac, Haiti",Plain of the Cul-de-Sac; Haiti,city / area,4
110,1,1:18:26,1900-01-01 01:18:26,"Province, Haiti",Province; Haiti,city / area,4
111,1,1:18:27,1900-01-01 01:18:27,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
112,1,1:18:29,1900-01-01 01:18:29,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
113,1,1:18:32,1900-01-01 01:18:32,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
114,1,1:18:34,1900-01-01 01:18:34,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
115,1,1:19:31,1900-01-01 01:19:31,Cuba,Cuba,country,6
116,1,1:19:39,1900-01-01 01:19:39,Chile,Chile,country,6
117,1,1:21:44,1900-01-01 01:21:44,"Montreal, Canada",Montreal; Canada,city / area,4
118,1,1:22:14,1900-01-01 01:22:14,"Montreal, Canada",Montreal; Canada,city / area,4
119,1,1:22:16,1900-01-01 01:22:16,"Montreal, Canada",Montreal; Canada,city / area,4
120,2,0:00:55,1900-01-01 01:23:57,Haiti,Haiti,country,6
121,2,0:01:37,1900-01-01 01:24:39,Haiti,Haiti,country,6
122,2,0:02:19,1900-01-01 01:25:21,Cuba,Cuba,country,6
123,2,0:02:36,1900-01-01 01:25:38,Chile,Chile,country,6
124,2,0:02:36,1900-01-01 01:25:38,Chile,Mexico,country,6
125,2,0:02:55,1900-01-01 01:25:57,Haiti,Haiti,country,6
126,2,0:03:16,1900-01-01 01:26:18,Cuba,Cuba,country,6
127,2,0:03:26,1900-01-01 01:26:28,"Moscow, Russia",Moscow; Russia,city / area,4
128,2,0:05:56,1900-01-01 01:28:58,Haiti,Haiti,country,6
129,2,0:06:24,1900-01-01 01:29:26,Haiti,Haiti,country,6
130,2,0:06:29,1900-01-01 01:29:31,Haiti,Haiti,country,6
131,2,0:06:58,1900-01-01 01:30:00,Haiti,Haiti,country,6
132,2,0:07:06,1900-01-01 01:30:08,Haiti,Haiti,country,6
133,2,0:07:26,1900-01-01 01:30:28,"Montreal, Canada",Montreal; Canada,city / area,4
134,2,0:07:27,1900-01-01 01:30:29,"Montreal, Canada",Montreal; Canada,city / area,4
135,2,0:07:32,1900-01-01 01:30:34,"Montreal, Canada",Montreal; Canada,city / area,4
136,2,0:08:03,1900-01-01 01:31:05,Cuba,Cuba,country,6
137,2,0:08:15,1900-01-01 01:31:17,Haiti,Haiti,country,6
138,2,0:08:23,1900-01-01 01:31:25,Cuba,Cuba,country,6
139,2,0:08:44,1900-01-01 01:31:46,Cuba,Cuba,country,6
140,2,0:09:05,1900-01-01 01:32:07,Cuba,Cuba,country,6
141,2,0:09:18,1900-01-01 01:32:20,"Montreal, Canada",Montreal; Canada,city / area,4
142,2,0:09:20,1900-01-01 01:32:22,"Montreal, Canada",Montreal; Canada,city / area,4
143,2,0:09:50,1900-01-01 01:32:52,"Montreal, Canada",Montreal; Canada,city / area,4
144,2,0:10:34,1900-01-01 01:33:36,"Montreal, Canada",Montreal; Canada,city / area,4
145,2,0:12:05,1900-01-01 01:35:07,"Dorval, Montreal, Canada",Dorval; Montreal; Canada,local,3
146,2,0:12:15,1900-01-01 01:35:17,Cuba,Cuba,country,6
147,2,0:12:40,1900-01-01 01:35:42,Cuba,Cuba,country,6
148,2,0:13:52,1900-01-01 01:36:54,Canada,Canada,country,6
149,2,0:14:13,1900-01-01 01:37:15,Cuba,Cuba,country,6
150,2,0:14:36,1900-01-01 01:37:38,Cuba,Cuba,country,6
151,2,0:14:37,1900-01-01 01:37:39,Canada,Canada,country,6
152,2,0:18:59,1900-01-01 01:42:01,Cuba,Cuba,country,6
153,2,0:19:09,1900-01-01 01:42:11,Canada,Canada,country,6
154,2,0:23:10,1900-01-01 01:46:12,"Maison D'Haïti, Montreal, Canada",Maison D'Haïti; Montreal; Canada,very local,2
155,2,0:23:24,1900-01-01 01:46:26,"Maison D'Haïti, Montreal, Canada",Maison D'Haïti; Montreal; Canada,very local,2
156,2,0:23:28,1900-01-01 01:46:30,"Association Latino-Americaine des Droits Humains: 5690 Rue Gatineau, Montreal, Canada",Association Latino-Americaine des Droits Humains: 5690 Rue Gatineau; Montreal; Canada,very local,2
157,2,0:23:41,1900-01-01 01:46:43,"Commission des droits de la personne et des droits de la jeunesse, Montreal, Canada",Commission des droits de la personne et des droits de la jeunesse; Montreal; Canada,very local,2
158,2,0:24:48,1900-01-01 01:47:50,"Maison D'Haïti, Montreal, Canada",Maison D'Haïti; Montreal; Canada,very local,2
159,2,0:25:05,1900-01-01 01:48:07,"Association Latino-Americaine des Droits Humains: 5690 Rue Gatineau, Montreal, Canada",Association Latino-Americaine des Droits Humains: 5690 Rue Gatineau; Montreal; Canada,very local,2
160,2,0:25:23,1900-01-01 01:48:25,"Commission des droits de la personne et des droits de la jeunesse, Montreal, Canada",Commission des droits de la personne et des droits de la jeunesse; Montreal; Canada,very local,2
161,2,0:25:48,1900-01-01 01:48:50,"Quebec, Canada",Quebec; Canada,country,6
162,2,0:26:46,1900-01-01 01:49:48,"Les Laurentides, Quebec, Canada",Les Laurentides; Quebec; Canada,city / area,4
163,2,0:31:41,1900-01-01 01:54:43,"Maison D'Haïti, Montreal, Canada",Maison D'Haïti; Montreal; Canada,very local,2
164,2,0:31:43,1900-01-01 01:54:45,"Association Latino-Americaine des Droits Humains: 5690 Rue Gatineau, Montreal, Canada",Association Latino-Americaine des Droits Humains: 5690 Rue Gatineau; Montreal; Canada,very local,2
165,2,0:36:13,1900-01-01 01:59:15,Canada,Canada,country,6
166,2,0:37:57,1900-01-01 02:00:59,Haiti,Haiti,country,6
167,2,0:38:27,1900-01-01 02:01:29,"Quebec, Canada",Quebec; Canada,region,5
168,2,0:38:34,1900-01-01 02:01:36,"Quebec, Canada",Quebec; Canada,region,5
169,2,0:38:34,1900-01-01 02:01:36,"Quebec, Canada",Quebec; Canada,region,5
170,2,0:38:55,1900-01-01 02:01:57,Canada,Canada,country,6
171,2,0:39:49,1900-01-01 02:02:51,"Quebec, Canada",Quebec; Canada,country,6
172,2,0:40:19,1900-01-01 02:03:21,"Quebec, Canada",Quebec; Canada,country,6
173,2,0:41:45,1900-01-01 02:04:47,Haiti,Haiti,country,6
174,2,0:42:58,1900-01-01 02:06:00,"Quebec, Canada",Quebec; Canada,region,5
175,2,0:43:01,1900-01-01 02:06:03,"Quebec, Canada",Quebec; Canada,region,5
176,2,0:43:35,1900-01-01 02:06:37,Haiti,Haiti,country,6
177,2,0:43:42,1900-01-01 02:06:44,Haiti,Haiti,country,6
178,2,0:44:16,1900-01-01 02:07:18,Haiti,Haiti,country,6
179,2,0:44:19,1900-01-01 02:07:21,Haiti,Haiti,country,6
180,2,0:44:49,1900-01-01 02:07:51,Haiti,Haiti,country,6
181,2,0:44:56,1900-01-01 02:07:58,The Antilles,The Antilles,region,5
182,2,0:44:57,1900-01-01 02:07:59,Haiti,Haiti,country,6
183,2,0:46:02,1900-01-01 02:09:04,Haiti,Haiti,country,6
184,2,0:46:04,1900-01-01 02:09:06,Haiti,Haiti,country,6
185,2,0:46:18,1900-01-01 02:09:20,Haiti,Haiti,country,6
186,2,0:46:20,1900-01-01 02:09:22,Haiti,Haiti,country,6
187,2,0:46:26,1900-01-01 02:09:28,Haiti,Haiti,country,6
188,2,0:46:36,1900-01-01 02:09:38,Haiti,Haiti,country,6
189,2,0:47:44,1900-01-01 02:10:46,Haiti,Haiti,country,6
190,2,0:48:09,1900-01-01 02:11:11,Haiti,Haiti,country,6
