id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order
38,1.0,37.0,0:19:10,0:20:20,1900-01-01 00:19:10,1900-01-01 00:20:20,Chile,Chile,country,null,6
39,1.0,38.0,0:20:20,0:20:22,1900-01-01 00:20:20,1900-01-01 00:20:22,_end,none,null,null,8
40,1.0,39.0,0:20:22,0:21:34,1900-01-01 00:20:22,1900-01-01 00:21:34,"Santiago, Chile",Santiago; Chile,city / area,null,4
41,1.0,40.0,0:21:34,0:22:01,1900-01-01 00:21:34,1900-01-01 00:22:01,"University of Santiago, Santiago, Chile",University of Santiago; Santiago; Chile,very local,null,2
42,1.0,41.0,0:22:01,0:22:07,1900-01-01 00:22:01,1900-01-01 00:22:07,"Santiago, Chile",Santiago; Chile,city / area,null,4
43,1.0,42.0,0:22:07,0:23:47,1900-01-01 00:22:07,1900-01-01 00:23:47,"Santiago, Chile",Santiago; Chile,city / area,null,4
44,1.0,43.0,0:23:47,0:23:53,1900-01-01 00:23:47,1900-01-01 00:23:53,_end,none,null,null,8
45,1.0,44.0,0:23:53,0:24:13,1900-01-01 00:23:53,1900-01-01 00:24:13,"Chiloé Island, Chile",Chiloé Island; Chile,region,null,5
46,1.0,45.0,0:24:13,0:25:10,1900-01-01 00:24:13,1900-01-01 00:25:10,"Santiago, Chile",Santiago; Chile,city / area,null,4
47,1.0,46.0,0:25:10,0:25:20,1900-01-01 00:25:10,1900-01-01 00:25:20,_end,none,null,null,8
48,1.0,47.0,0:25:20,0:27:14,1900-01-01 00:25:20,1900-01-01 00:27:14,Chile,Chile,country,null,6
49,1.0,48.0,0:27:14,0:27:18,1900-01-01 00:27:14,1900-01-01 00:27:18,"University of Chile, Santiago, Chile",University of Chile; Santiago; Chile,very local,null,2
50,1.0,49.0,0:27:18,0:28:13,1900-01-01 00:27:18,1900-01-01 00:28:13,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",Estadio Nacional Julio Martínez Prádanos; Santiago; Chile,very local,null,2
51,1.0,50.0,0:28:13,0:28:22,1900-01-01 00:28:13,1900-01-01 00:28:22,_end,none,null,null,8
52,1.0,51.0,0:28:22,0:29:10,1900-01-01 00:28:22,1900-01-01 00:29:10,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",Estadio Nacional Julio Martínez Prádanos; Santiago; Chile,very local,null,2
53,1.0,52.0,0:29:10,0:29:12,1900-01-01 00:29:10,1900-01-01 00:29:12,_end,none,null,null,8
54,1.0,53.0,0:29:12,0:29:44,1900-01-01 00:29:12,1900-01-01 00:29:44,Peru,Peru,country,null,6
55,1.0,54.0,0:29:44,0:29:59,1900-01-01 00:29:44,1900-01-01 00:29:59,"Paris, France",Paris; France,city / area,null,4
56,1.0,55.0,0:29:59,0:30:12,1900-01-01 00:29:59,1900-01-01 00:30:12,Switzerland,Switzerland,country,null,6
57,1.0,56.0,0:30:12,0:30:16,1900-01-01 00:30:12,1900-01-01 00:30:16,Europe,Europe,continent,null,7
58,1.0,57.0,0:30:16,0:30:42,1900-01-01 00:30:16,1900-01-01 00:30:42,Europe,Europe,continent,null,7
59,1.0,58.0,0:30:42,0:30:47,1900-01-01 00:30:42,1900-01-01 00:30:47,Canada,Canada,country,null,6
60,1.0,59.0,0:30:47,0:30:48,1900-01-01 00:30:47,1900-01-01 00:30:48,Canada,Canada,country,null,6
61,1.0,60.0,0:30:48,0:31:30,1900-01-01 00:30:48,1900-01-01 00:31:30,Switzerland,Switzerland,country,null,6
62,1.0,61.0,0:31:30,0:31:36,1900-01-01 00:31:30,1900-01-01 00:31:36,Canada,Canada,country,null,6
63,1.0,62.0,0:31:36,0:32:32,1900-01-01 00:31:36,1900-01-01 00:32:32,"Montreal, Canada",Montreal; Canada,city / area,null,4
64,1.0,63.0,0:32:32,0:33:24,1900-01-01 00:32:32,1900-01-01 00:33:24,Mexico,Mexico,country,null,6
65,1.0,64.0,0:33:24,0:34:53,1900-01-01 00:33:24,1900-01-01 00:34:53,Haiti,Haiti,country,null,6
66,1.0,65.0,0:34:53,0:35:00,1900-01-01 00:34:53,1900-01-01 00:35:00,Haiti,Haiti,country,null,6
67,1.0,66.0,0:35:00,0:36:39,1900-01-01 00:35:00,1900-01-01 00:36:39,Haiti,Haiti,country,null,6
68,1.0,67.0,0:36:39,0:37:00,1900-01-01 00:36:39,1900-01-01 00:37:00,"Montreal, Canada",Montreal; Canada,city / area,null,4
69,1.0,68.0,0:37:00,0:37:10,1900-01-01 00:37:00,1900-01-01 00:37:10,Haiti,Haiti,country,null,6
70,1.0,69.0,0:37:10,0:37:45,1900-01-01 00:37:10,1900-01-01 00:37:45,Mexico,Mexico,country,null,6
71,1.0,70.0,0:37:45,0:37:48,1900-01-01 00:37:45,1900-01-01 00:37:48,"Montreal, Canada",Montreal; Canada,city / area,null,4
72,1.0,71.0,0:37:48,0:38:00,1900-01-01 00:37:48,1900-01-01 00:38:00,"Montreal, Canada",Montreal; Canada,city / area,null,4
73,1.0,72.0,0:38:00,0:38:24,1900-01-01 00:38:00,1900-01-01 00:38:24,_end,none,null,null,8
74,1.0,73.0,0:38:24,0:38:55,1900-01-01 00:38:24,1900-01-01 00:38:55,"Montreal, Canada",Montreal; Canada,city / area,null,4
75,1.0,74.0,0:38:55,0:39:00,1900-01-01 00:38:55,1900-01-01 00:39:00,_end,none,null,null,8
76,1.0,75.0,0:39:00,0:39:45,1900-01-01 00:39:00,1900-01-01 00:39:45,"CIDIHCA, Montreal, Canada",Centre International De Documentation & D'Information Haitienne Caraïbéenne & Afrocanadienne; Montreal; Canada,very local,null,2
77,1.0,76.0,0:39:45,0:39:50,1900-01-01 00:39:45,1900-01-01 00:39:50,_end,none,null,null,8
78,1.0,77.0,0:39:50,0:41:03,1900-01-01 00:39:50,1900-01-01 00:41:03,Haiti,Haiti,country,null,6
79,1.0,78.0,0:41:03,0:41:07,1900-01-01 00:41:03,1900-01-01 00:41:07,_end,none,null,null,8
