id,session_num,time_clip,time,place,place_raw,scale,scale_order
1,1.0,0.0,1900-01-01 00:00:26,"Montreal, Canada",Montreal; Qc,city / area,4
2,1.0,null,1900-01-01 00:00:28,"Quebec, Canada",Quebec,region,5
3,1.0,null,1900-01-01 00:00:46,"Montreal, Canada",Montreal; Qc,city / area,4
4,1.0,null,1900-01-01 00:01:26,"Quebec, Canada",Quebec,region,5
5,1.0,null,1900-01-01 00:01:29,"Quebec, Canada",Quebec,region,5
6,1.0,null,1900-01-01 00:02:09,"Quebec, Canada",Quebec,region,5
7,1.0,null,1900-01-01 00:02:14,Haiti,Haiti,country,6
8,1.0,null,1900-01-01 00:02:28,"Quebec, Canada",Quebec,region,5
9,1.0,null,1900-01-01 00:03:39,Cuba,Cuba,country,6
10,1.0,null,1900-01-01 00:03:44,Cuba,Cuba,country,6
11,1.0,null,1900-01-01 00:03:45,Haiti,Haiti,country,6
12,1.0,null,1900-01-01 00:04:04,Haiti,Haiti,country,6
13,1.0,null,1900-01-01 00:04:28,Canada,Canada,country,6
14,1.0,null,1900-01-01 00:04:34,"Montreal, Canada",Montreal; Qc,city / area,4
15,1.0,null,1900-01-01 00:04:40,"Montreal, Canada",Montreal; Qc,city / area,4
16,1.0,null,1900-01-01 00:04:48,"Montreal, Canada",Montreal; Qc,city / area,4
17,1.0,null,1900-01-01 00:04:55,Haiti,Haiti,country,6
18,1.0,null,1900-01-01 00:05:04,"Montreal, Canada",Montreal; Qc,city / area,4
19,1.0,null,1900-01-01 00:05:10,Haiti,Haiti,country,6
20,1.0,null,1900-01-01 00:05:11,Haiti,Haiti,country,6
21,1.0,null,1900-01-01 00:05:35,Haiti,Haiti,country,6
22,1.0,null,1900-01-01 00:05:54,"Cap-Haitien, Haiti",Cap-Haitien; Haiti,city / area,4
23,1.0,null,1900-01-01 00:07:26,Haiti,Haiti,country,6
24,1.0,null,1900-01-01 00:07:42,Haiti,Haiti,country,6
25,1.0,null,1900-01-01 00:08:03,Haiti,Haiti,country,6
26,1.0,null,1900-01-01 00:08:53,Haiti,Haiti,country,6
27,1.0,null,1900-01-01 00:09:02,Haiti,Haiti,country,6
28,1.0,null,1900-01-01 00:09:20,Haiti,Haiti,country,6
29,1.0,null,1900-01-01 00:09:28,Canada,Canada,country,6
30,1.0,null,1900-01-01 00:09:31,"Quebec, Canada",Quebec,region,5
31,1.0,null,1900-01-01 00:09:58,Haiti,Haiti,country,6
32,1.0,null,1900-01-01 00:10:15,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local,3
33,1.0,null,1900-01-01 00:10:17,"Artibonite, Haiti",Artibonite; Haiti,region,5
34,1.0,null,1900-01-01 00:10:19,Haiti,Haiti,country,6
35,1.0,null,1900-01-01 00:12:33,Haiti,Haiti,country,6
36,1.0,null,1900-01-01 00:13:36,Canada,Canada,country,6
37,1.0,null,1900-01-01 00:13:53,Canada,Canada,country,6
38,1.0,null,1900-01-01 00:13:56,USA,USA,country,6
39,1.0,null,1900-01-01 00:14:01,Canada,Canada,country,6
40,1.0,null,1900-01-01 00:14:12,Haiti,Haiti,country,6
41,1.0,null,1900-01-01 00:14:17,Haiti,Haiti,country,6
42,1.0,null,1900-01-01 00:14:30,"Quebec, Canada",Quebec,region,5
43,1.0,null,1900-01-01 00:14:35,"Quebec, Canada",Quebec,region,5
44,1.0,null,1900-01-01 00:15:02,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local,3
45,1.0,null,1900-01-01 00:15:20,"Montreal, Canada",Montreal; Qc,city / area,4
46,1.0,null,1900-01-01 00:15:22,"Montreal, Canada",Montreal; Qc,city / area,4
47,1.0,null,1900-01-01 00:16:22,"NYC, USA",New York; NY,city / area,4
48,1.0,null,1900-01-01 00:16:23,"Boston, USA",Boston; MA,city / area,4
49,1.0,null,1900-01-01 00:18:58,"Montreal, Canada",Montreal; Qc,city / area,4
50,1.0,null,1900-01-01 00:20:45,Haiti,Haiti,country,6
51,1.0,null,1900-01-01 00:21:13,Haiti,Haiti,country,6
52,1.0,null,1900-01-01 00:21:17,Haiti,Haiti,country,6
53,1.0,null,1900-01-01 00:21:31,"Aquin, Haiti",Aquin; Haiti,local,3
54,1.0,null,1900-01-01 00:21:33,Haiti,Haiti,country,6
55,1.0,null,1900-01-01 00:21:52,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
56,1.0,null,1900-01-01 00:22:14,Haiti,Haiti,country,6
57,1.0,null,1900-01-01 00:22:39,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
58,1.0,null,1900-01-01 00:23:12,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
59,1.0,null,1900-01-01 00:23:29,France,France,country,6
