,id,session_num,time_clip,time,place,place_raw,scale,scale_order
150,151,null,0:31:40,1900-01-01 02:31:50,Rwanda,Rwanda,country,6
151,152,null,0:32:00,1900-01-01 02:32:10,Rwanda,Rwanda,country,6
152,153,null,0:32:36,1900-01-01 02:32:46,Rwanda,Rwanda,country,6
153,154,null,0:32:45,1900-01-01 02:32:55,Rwanda,Rwanda,country,6
154,155,null,0:32:50,1900-01-01 02:33:00,Rwanda,Rwanda,country,6
155,156,null,0:33:20,1900-01-01 02:33:30,"Kigali, Rwanda",Kigali; Rwanda,city / area,4
156,157,null,0:33:38,1900-01-01 02:33:48,Africa,Africa,continent,7
157,158,null,0:34:40,1900-01-01 02:34:50,Rwanda,Rwanda,country,6
158,159,null,0:35:27,1900-01-01 02:35:37,"Remera, Kigali, Rwanda",Remera; Kigali; Rwanda,local,3
159,160,null,0:35:30,1900-01-01 02:35:40,"Chez Lando Hotel, Kigali, Rwanda",Chez Lando Hotel; Kigali; Rwanda,very local,2
160,161,null,0:35:38,1900-01-01 02:35:48,"Montreal, Canada",Montreal; Canada,city / area,4
161,162,null,0:35:40,1900-01-01 02:35:50,"Sainte Catherine Street, Montreal, Canada",Sainte Catherine Street; Montreal; Canada,local,3
162,163,null,0:35:42,1900-01-01 02:35:52,"Saint Catherine Street, Montreal, Canada",Saint Catherine Street; Montreal; Canada,local,3
163,164,null,0:35:44,1900-01-01 02:35:54,"Hochelaga-Maisonneuve, Montreal, Canada",Hochelaga-Maisonneuve; Montreal; Canada,local,3
164,165,null,0:35:46,1900-01-01 02:35:56,"Saint Michel, Montreal, Canada",Saint Michel; Montreal; Canada,local,3
165,166,null,0:38:26,1900-01-01 02:38:36,"Remera, Kigali, Rwanda",Remera; Kigali; Rwanda,local,3
166,167,null,0:39:50,1900-01-01 02:40:00,Rwanda,Rwanda,country,6
167,168,null,0:00:36,1900-01-01 02:40:38,Africa,Africa,continent,7
168,169,null,0:00:46,1900-01-01 02:40:48,"Remera, Kigali, Rwanda",Remera; Kigali; Rwanda,local,3
169,170,null,0:01:01,1900-01-01 02:41:03,Africa,Africa,continent,7
170,171,null,0:02:34,1900-01-01 02:42:36,Rwanda,Rwanda,country,6
171,172,null,0:03:01,1900-01-01 02:43:03,Rwanda,Rwanda,country,6
172,173,null,0:03:04,1900-01-01 02:43:06,Rwanda,Rwanda,country,6
173,174,null,0:04:37,1900-01-01 02:44:39,"Montreal, Canada",Montreal; Canada,city / area,4
174,175,null,0:05:09,1900-01-01 02:45:11,Rwanda,Rwanda,country,6
175,176,null,0:05:20,1900-01-01 02:45:22,"Remera, Kigali, Rwanda",Remera; Kigali; Rwanda,local,3
176,177,null,0:05:30,1900-01-01 02:45:32,Rwanda,Rwanda,country,6
177,178,null,0:06:00,1900-01-01 02:46:02,Rwanda,Rwanda,country,6
178,179,null,0:07:00,1900-01-01 02:47:02,"Montreal, Canada",Montreal; Canada,city / area,4
