id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order
40,1.0,40.0,0:56:54,0:58:10,1900-01-01 00:56:54,1900-01-01 00:58:10,Cuba,Cuba,country,null,6
41,1.0,41.0,0:58:10,1:00:00,1900-01-01 00:58:10,1900-01-01 01:00:00,Cuba,Cuba,country,null,6
42,1.0,42.0,1:00:00,1:00:24,1900-01-01 01:00:00,1900-01-01 01:00:24,Canada,Canada,country,null,6
43,1.0,43.0,1:00:24,1:00:33,1900-01-01 01:00:24,1900-01-01 01:00:33,_end,none,null,null,8
44,1.0,44.0,1:00:33,1:01:20,1900-01-01 01:00:33,1900-01-01 01:01:20,"Pénitentier National, Port-au-Prince, Haiti",Pénitentier National; Port-au-Prince; Haiti; Mexico City;  Chile; Cuba,very local,null,2
45,null,null,null,null,1900-01-01 01:00:33,1900-01-01 01:01:20,"Mexico City, Mexico",null,city / area,null,4
46,null,null,null,null,1900-01-01 01:00:33,1900-01-01 01:01:20,Chile,null,country,null,6
47,null,null,null,null,1900-01-01 01:00:33,1900-01-01 01:01:20,Cuba,null,country,null,6
48,1.0,45.0,1:01:20,1:01:30,1900-01-01 01:01:20,1900-01-01 01:01:30,Cuba,Cuba,country,null,6
49,1.0,46.0,1:01:30,1:01:32,1900-01-01 01:01:30,1900-01-01 01:01:32,_end,none,null,null,8
50,1.0,47.0,1:01:32,1:01:46,1900-01-01 01:01:32,1900-01-01 01:01:46,"Fontamara, Port-au-Prince, Haiti",Fontamara; Port-au-Prince; Haiti,local,null,3
51,1.0,48.0,1:01:46,1:02:00,1900-01-01 01:01:46,1900-01-01 01:02:00,_end,none,null,null,8
52,1.0,49.0,1:02:00,1:02:30,1900-01-01 01:02:00,1900-01-01 01:02:30,_end,none,null,null,8
53,1.0,50.0,1:02:30,1:02:32,1900-01-01 01:02:30,1900-01-01 01:02:32,Canada,Canada,country,null,6
54,1.0,51.0,1:02:32,1:03:24,1900-01-01 01:02:32,1900-01-01 01:03:24,"Montreal, Canada",Montreal; Canada,city / area,null,4
55,1.0,52.0,1:03:24,1:03:44,1900-01-01 01:03:24,1900-01-01 01:03:44,_end,none,null,null,8
56,1.0,53.0,1:03:44,1:06:15,1900-01-01 01:03:44,1900-01-01 01:06:15,"Fontamara, Port-au-Prince, Haiti",Fontamara; Port-au-Prince; Haiti,local,null,3
57,1.0,54.0,1:06:15,1:06:28,1900-01-01 01:06:15,1900-01-01 01:06:28,"Montreal, Canada",Montreal; Canada,city / area,null,4
58,1.0,55.0,1:06:28,1:07:53,1900-01-01 01:06:28,1900-01-01 01:07:53,"Montreal, Canada",Montreal; Canada,city / area,null,4
59,1.0,56.0,1:07:53,1:08:00,1900-01-01 01:07:53,1900-01-01 01:08:00,"Quebec, Canada",Quebec; Canada,region,null,5
60,1.0,57.0,1:08:00,1:10:22,1900-01-01 01:08:00,1900-01-01 01:10:22,"Quebec, Canada",Quebec; Canada,region,null,5
61,1.0,58.0,1:10:22,1:10:31,1900-01-01 01:10:22,1900-01-01 01:10:31,"Montreal, Canada",Montreal; Canada,city / area,null,4
62,1.0,59.0,1:10:31,1:11:37,1900-01-01 01:10:31,1900-01-01 01:11:37,"Montreal, Canada",Montreal; Canada,city / area,null,4
63,1.0,60.0,1:11:37,1:11:42,1900-01-01 01:11:37,1900-01-01 01:11:42,"Montreal, Canada",Montreal; Canada,city / area,null,4
64,1.0,61.0,1:11:42,1:12:30,1900-01-01 01:11:42,1900-01-01 01:12:30,"Maison D'Haiti, Montreal, Canada",Maison D'Haïti; Montreal; Canada,very local,null,2
65,1.0,62.0,1:12:30,1:12:36,1900-01-01 01:12:30,1900-01-01 01:12:36,_end,none,null,null,8
66,1.0,63.0,1:12:36,1:13:00,1900-01-01 01:12:36,1900-01-01 01:13:00,Cuba,Cuba,country,null,6
67,1.0,64.0,1:13:00,1:14:00,1900-01-01 01:13:00,1900-01-01 01:14:00,"Montreal, Canada",Montreal; Canada,city / area,null,4
68,1.0,65.0,1:14:00,1:15:20,1900-01-01 01:14:00,1900-01-01 01:15:20,Haiti,Haiti; Montreal,country,null,6
69,null,null,null,null,1900-01-01 01:14:00,1900-01-01 01:15:20,"Montreal, Canada",null,city / area,null,4
70,1.0,66.0,1:15:20,1:17:06,1900-01-01 01:15:20,1900-01-01 01:17:06,_end,none,null,null,8
71,1.0,67.0,1:17:06,1:21:36,1900-01-01 01:17:06,1900-01-01 01:21:36,_end,none,null,null,8
72,1.0,68.0,1:21:36,1:22:08,1900-01-01 01:21:36,1900-01-01 01:22:08,_end,none,null,null,8
73,1.0,69.0,1:22:08,1:23:02,1900-01-01 01:22:08,1900-01-01 01:23:02,_end,none,null,null,8
74,2.0,70.0,0:00:00,0:00:40,1900-01-01 01:23:02,1900-01-01 01:23:42,Haiti,Haiti,country,null,6
75,2.0,71.0,0:00:40,0:02:19,1900-01-01 01:23:42,1900-01-01 01:25:21,"Montreal, Canada",Montreal; Canada,city / area,null,4
76,2.0,72.0,0:02:19,0:03:20,1900-01-01 01:25:21,1900-01-01 01:26:22,Cuba,Cuba; Haiti,country,null,6
77,null,null,null,null,1900-01-01 01:25:21,1900-01-01 01:26:22,Haiti,null,country,null,6
78,2.0,73.0,0:03:20,0:03:55,1900-01-01 01:26:22,1900-01-01 01:26:57,"Moscow, Russia",Moscow; Russia,city / area,null,4
79,2.0,74.0,0:03:55,0:04:05,1900-01-01 01:26:57,1900-01-01 01:27:07,_end,none,null,null,8
80,2.0,75.0,0:04:05,0:06:15,1900-01-01 01:27:07,1900-01-01 01:29:17,"Montreal, Canada",Montreal; Canada,city / area,null,4
81,2.0,76.0,0:06:15,0:07:26,1900-01-01 01:29:17,1900-01-01 01:30:28,Haiti,Haiti; Montreal,country,null,6
82,null,null,null,null,1900-01-01 01:29:17,1900-01-01 01:30:28,"Montreal, Canada",null,city / area,null,4
83,2.0,77.0,0:07:26,0:07:27,1900-01-01 01:30:28,1900-01-01 01:30:29,"Montreal, Canada",Montreal; Canada,city / area,null,4
84,2.0,78.0,0:07:27,0:08:15,1900-01-01 01:30:29,1900-01-01 01:31:17,"Montreal, Canada",Montreal; Canada,city / area,null,4
85,2.0,79.0,0:08:15,0:08:43,1900-01-01 01:31:17,1900-01-01 01:31:45,Haiti,Haiti; Cuba; Montreal,country,null,6
86,2.0,80.0,0:08:43,0:09:00,1900-01-01 01:31:45,1900-01-01 01:32:02,Cuba,Cuba,country,null,6
87,2.0,81.0,0:09:00,0:09:17,1900-01-01 01:32:02,1900-01-01 01:32:19,"Montreal, Canada",Montreal; Canada,city / area,null,4
88,2.0,82.0,0:09:17,0:11:00,1900-01-01 01:32:19,1900-01-01 01:34:02,"Montreal, Canada",Montreal; Canada,city / area,null,4
89,2.0,83.0,0:11:00,0:11:25,1900-01-01 01:34:02,1900-01-01 01:34:27,"Pierre Elliott Trudeau International Airport, Montreal, Canada",Pierre Elliott Trudeau International Airport; Montreal; Canada,very local,null,2
