id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order,agg_su_id,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
47,1.0,44.0,,,1900-01-01 00:42:07,1900-01-01 00:43:50,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti; Quebec; Canada,city / area,,4,46.0,"['00', '01', '43']",1.7166666666666666,3,;79;80;81,";l'Estère, Haiti;Marchand Dessalines, Haiti;Quebec, Canada",1,;80,";Marchand Dessalines, Haiti",;0 days 00:00:04,0 days 00:00:04,0.038834951456310676,0,,,0,,
48,,,,,1900-01-01 00:42:07,1900-01-01 00:43:50,"Quebec, Canada",,region,,5,48.0,"['00', '01', '43']",1.7166666666666666,3,;79;80;81,";l'Estère, Haiti;Marchand Dessalines, Haiti;Quebec, Canada",1,;81,";Quebec, Canada",;0 days 00:01:01,0 days 00:01:01,0.5922330097087378,0,,,0,,
49,1.0,45.0,,,1900-01-01 00:43:50,1900-01-01 00:44:45,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,,4,49.0,"['00', '00', '55']",0.9166666666666666,0,,,0,,,,0,0.0,0,,,0,,
50,1.0,46.0,,,1900-01-01 00:44:45,1900-01-01 00:44:51,_end,none,,,8,50.0,"['00', '00', '06']",0.1,0,,,0,,,,0,0.0,0,,,0,,
51,1.0,47.0,,,1900-01-01 00:44:51,1900-01-01 00:46:54,Haiti,Haiti,country,,6,51.0,"['00', '02', '03']",2.05,3,;82;83;84,";Haiti;Haiti;Marchand Dessalines, Haiti",2,;82;83,;Haiti;Haiti,;0 days 00:00:01;0 days 00:00:06,0 days 00:00:01,0.008130081300813009,0,,,1,;84,";Marchand Dessalines, Haiti"
52,1.0,48.0,,,1900-01-01 00:46:54,1900-01-01 00:47:24,Haiti,Haiti,country,,6,51.0,"['00', '00', '30']",0.5,1,;85,;Haiti,1,;85,;Haiti,;0 days 00:00:26,0 days 00:00:26,0.8666666666666667,0,,,0,,
53,1.0,49.0,,,1900-01-01 00:47:24,1900-01-01 00:52:11,Haiti,Haiti,country,,6,51.0,"['00', '04', '47']",4.783333333333333,3,;86;87;88,;Haiti;Haiti;Haiti,3,;86;87;88,;Haiti;Haiti;Haiti,;0 days 00:00:22;0 days 00:01:32;0 days 00:02:59,0 days 00:00:22,0.07665505226480836,0,,,0,,
54,1.0,50.0,,,1900-01-01 00:52:11,1900-01-01 00:52:31,_end,unknown,,,8,54.0,"['00', '00', '20']",0.3333333333333333,0,,,0,,,,0,0.0,0,,,0,,
55,1.0,51.0,,,1900-01-01 00:52:31,1900-01-01 00:56:20,_end,none,,,8,54.0,"['00', '03', '49']",3.816666666666667,6,;89;90;91;92;93;94,;France;France;France;France;France;Canada,0,,,,0,0.0,0,,,0,,
56,1.0,52.0,,,1900-01-01 00:56:20,1900-01-01 00:57:54,_end,none,,,8,54.0,"['00', '01', '34']",1.5666666666666667,0,,,0,,,,0,0.0,0,,,0,,
57,1.0,53.0,,,1900-01-01 00:57:54,1900-01-01 00:58:08,_end,none,,,8,54.0,"['00', '00', '14']",0.23333333333333334,0,,,0,,,,0,0.0,0,,,0,,
58,1.0,54.0,,,1900-01-01 00:58:08,1900-01-01 01:01:15,_end,none,,,8,54.0,"['00', '03', '07']",3.1166666666666667,2,;95;96,;Cuba;Haiti,0,,,,0,0.0,0,,,0,,
59,1.0,55.0,,,1900-01-01 01:01:15,1900-01-01 01:01:41,_end,none,,,8,54.0,"['00', '00', '26']",0.43333333333333335,0,,,0,,,,0,0.0,0,,,0,,
60,1.0,56.0,,,1900-01-01 01:01:41,1900-01-01 01:06:14,_end,none,,,8,54.0,"['00', '04', '33']",4.55,5,;97;98;99;100;101,";Haiti;Haiti;Boston, USA;Boston, USA;Haiti",0,,,,0,0.0,0,,,0,,
61,1.0,57.0,,,1900-01-01 01:06:14,1900-01-01 01:09:30,_end,none,,,8,54.0,"['00', '03', '16']",3.2666666666666666,0,,,0,,,,0,0.0,0,,,0,,
