agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
26.0,26,24.0,Burundi,6,1900-01-01 00:24:16,1900-01-01 00:26:14,"['00', '01', '58']",1.9666666666666666,5,;39;40;41;42;43,";Burundi;Rwanda;Rwanda;Kigali, Rwanda;Burundi",2,;39;43,;Burundi;Burundi,;0 days 00:00:07;0 days 00:00:58,0 days 00:00:07,0.059322033898305086,0,,,0,,
27.0,27;28,25.0;26.0,_end,8,1900-01-01 00:26:14,1900-01-01 00:29:06,"['00', '02', '52']",2.8666666666666667,4,;44;45;46;47,";Montreal, Canada;Rwanda;Canada;Canada",0,,,,0,0.0,0,,,0,,
29.0,29,27.0,Rwanda,6,1900-01-01 00:29:06,1900-01-01 00:35:00,"['00', '05', '54']",5.9,2,;48;49,";Canada;Quebec, Canada",0,,,,0,0.0,0,,,0,,
30.0,30;31;32,28.0;29.0;30.0,_end,8,1900-01-01 00:35:00,1900-01-01 00:46:30,"['00', '11', '30']",11.5,2,;50;51,";Quebec, Canada;Europe",0,,,,0,0.0,0,,,0,,
33.0,33,31.0,Burundi,6,1900-01-01 00:46:30,1900-01-01 00:47:10,"['00', '00', '40']",0.6666666666666666,0,,,0,,,,0,0.0,0,,,0,,
34.0,34;35;36,32.0;33.0;34.0,_end,8,1900-01-01 00:47:10,1900-01-01 00:52:35,"['00', '05', '25']",5.416666666666667,2,;52;53,";Bujumbura, Burundi;Burundi",0,,,,0,0.0,0,,,0,,
37.0,37,35.0,"Cibitoke, Burundi",4,1900-01-01 00:52:35,1900-01-01 00:53:45,"['00', '01', '10']",1.1666666666666667,0,,,0,,,,0,0.0,0,,,0,,
38.0,38;39,36.0;37.0,_end,8,1900-01-01 00:53:45,1900-01-01 00:57:04,"['00', '03', '19']",3.316666666666667,1,;54,;Burundi,0,,,,0,0.0,0,,,0,,
40.0,40,38.0,Burundi,6,1900-01-01 00:57:04,1900-01-01 00:58:15,"['00', '01', '11']",1.1833333333333333,1,;55,;Burundi,1,;55,;Burundi,;0 days 00:00:26,0 days 00:00:26,0.36619718309859156,0,,,0,,
41.0,41,39.0,_end,6,1900-01-01 00:58:15,1900-01-01 00:58:27,"['00', '00', '12']",0.2,4,;56;57;58;59,;Rwanda;Rwanda;Rwanda;Burundi,0,,,,0,0.0,0,,,0,,
