agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
78,78,77,"Addis Ababa, Ethiopia",4,1/1/1900 2:42,1/1/1900 2:45,"['00', '02', '40']",2.666666667,15,;184;186;187;188;189;190;191;192;193;194;195;196;197;198;199,";Rwanda;Addis Ababa, Ethiopia;Rwanda;Bujumbura, Burundi;Burundi;Bujumbura, Burundi;Addis Ababa, Ethiopia;Addis Ababa, Ethiopia;Rwanda;Bukavu, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo;Addis Ababa, Ethiopia;Ethiopia;Ethiopia",4,;186;191;192;197,";Addis Ababa, Ethiopia;Addis Ababa, Ethiopia;Addis Ababa, Ethiopia;Addis Ababa, Ethiopia",;0 days 00:00:25;0 days 00:00:56;0 days 00:01:41;0 days 00:02:25,0 days 00:00:25,0.15625,2,;198;199,;Ethiopia;Ethiopia,0,,
79,79,78,"Kibuye, Rwanda; Bukavu, Democratic Republic of Congo; Bujumbura, Burundi; Addis Ababa",1,1/1/1900 2:44,1/1/1900 2:45,"['00', '00', '35']",0.583333333,6,;193;194;195;196;197;199,";Rwanda;Bukavu, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo;Addis Ababa, Ethiopia;Ethiopia",0,,,,0,0,4,;193;194;195;196,";Rwanda;Bukavu, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo",0,,
80,80;81;82,79.0;80.0;81.0,"Addis Ababa, Ethiopia",4,1/1/1900 2:45,1/1/1900 2:48,"['00', '03', '00']",3,5,;200;201;202;203;204,";Ethiopia;Tripoli, Libya;Addis Ababa, Ethiopia;Tripoli, Libya;Ethiopia",1,;202,";Addis Ababa, Ethiopia",;0 days 00:02:40,0 days 00:02:40,0.888888889,2,;200;204,;Ethiopia;Ethiopia,0,,
83,83,82,_end,8,1/1/1900 2:48,1/1/1900 2:50,"['00', '02', '05']",2.083333333,3,;205;206;207,";Democratic Republic of Congo;Goma, Democratic Republic of Congo;Ethiopia",0,,,,0,0,0,,,0,,
84,84,83,Ethiopia,6,1/1/1900 2:50,1/1/1900 2:52,"['00', '02', '00']",2,5,;208;209;210;211;212,";Rwandan Embassy, Addis Ababa, Ethiopia;Democratic Republic of Congo;Rwandan Embassy, Kinshasa, Democratic Republic of Congo;Rwandan Embassy, Addis Ababa, Ethiopia;Democratic Republic of Congo",0,,,,0,0,0,,,2,;208;211,";Rwandan Embassy, Addis Ababa, Ethiopia;Rwandan Embassy, Addis Ababa, Ethiopia"
85,85,84,Democratic Republic of Congo,6,1/1/1900 2:52,1/1/1900 2:54,"['00', '02', '30']",2.5,3,;213;214;215,;Rwanda;Rwanda;Democratic Republic of Congo,1,;215,;Democratic Republic of Congo,;0 days 00:00:29,0 days 00:00:29,0.193333333,0,,,0,,
86,86,85,Uganda,6,1/1/1900 2:54,1/1/1900 3:00,"['00', '05', '20']",5.333333333,14,;216;217;218;219;220;221;222;223;224;225;226;227;228;229,";Uganda;Rwanda;Uganda;Kampala, Uganda;Rwanda;Uganda;Uganda;Rwanda;Uganda;Rwanda;Rwanda;Rwanda;Democratic Republic of Congo;Uganda",6,;216;218;221;222;224;229,;Uganda;Uganda;Uganda;Uganda;Uganda;Uganda,;0 days 00:00:10;0 days 00:01:25;0 days 00:02:10;0 days 00:02:30;0 days 00:03:09;0 days 00:04:43,0 days 00:00:10,0.03125,0,,,1,;219,";Kampala, Uganda"
87,87,86,Rwanda,6,1/1/1900 3:00,1/1/1900 3:03,"['00', '03', '57']",3.95,9,;230;231;232;233;234;235;236;237;238,;Rwanda;Rwanda;Democratic Republic of Congo;Rwanda;Rwanda;Uganda;Democratic Republic of Congo;Rwanda;Rwanda,6,;230;231;233;234;237;238,;Rwanda;Rwanda;Rwanda;Rwanda;Rwanda;Rwanda,;0 days 00:00:23;0 days 00:00:30;0 days 00:01:56;0 days 00:02:06;0 days 00:03:10;0 days 00:03:32,0 days 00:00:23,0.097046414,0,,,0,,
88,88;89,87.0;88.0,Ethiopia,6,1/1/1900 3:03,1/1/1900 3:07,"['00', '03', '03']",3.05,8,;239;240;241;242;243;244;245;246,";Kenya;Nairobi, Kenya;Nairobi, Kenya;Addis Ababa, Ethiopia;Uganda;Canada;Tanzania;Tanzania",0,,,,0,0,0,,,1,;242,";Addis Ababa, Ethiopia"
90,90,89,Tanzania,6,1/1/1900 3:07,1/1/1900 3:08,"['00', '01', '30']",1.5,1,;247,;Tanzania,1,;247,;Tanzania,;0 days 00:01:01,0 days 00:01:01,0.677777778,0,,,0,,
91,91,90,Rwanda,6,1/1/1900 3:08,1/1/1900 3:10,"['00', '01', '55']",1.916666667,4,;248;249;250;251,;Uganda;Democratic Republic of Congo;Burundi;South Africa,0,,,,0,0,0,,,0,,
92,92,91,Uganda,6,1/1/1900 3:10,1/1/1900 3:13,"['00', '03', '20']",3.333333333,8,;252;253;254;255;256;257;258;259,;Dar es Salaam;Rwanda;Europe;North America;Democratic Republic of Congo;Democratic Republic of Congo;Democratic Republic of Congo;United States,0,,,,0,0,0,,,0,,
93,93,92,USA,6,1/1/1900 3:13,1/1/1900 3:16,"['00', '02', '25']",2.416666667,4,;260;261;262;263,;Rwanda;United States;United States;United States,0,,,,0,0,0,,,0,,
94,94;95,93.0;94.0,"Addis Ababa, Ethiopia",4,1/1/1900 3:16,1/1/1900 3:19,"['00', '02', '55']",2.916666667,9,;264;265;266;267;268;269;270;271;272,";Rwanda;Addis Ababa, Ethiopia;Addis Ababa, Ethiopia;Addis Ababa, Ethiopia;Rwanda;Rwandan Embassy, Addis Ababa, Ethiopia;Gisenyi, Rwanda;Addis Ababa, Ethiopia;Burundi",4,;265;266;267;271,";Addis Ababa, Ethiopia;Addis Ababa, Ethiopia;Addis Ababa, Ethiopia;Addis Ababa, Ethiopia",;0 days 00:00:16;0 days 00:00:17;0 days 00:00:20;0 days 00:02:18,0 days 00:00:16,0.091428571,0,,,1,;269,";Rwandan Embassy, Addis Ababa, Ethiopia"
96,96,95,"London, England",4,1/1/1900 3:19,1/1/1900 3:20,"['00', '01', '15']",1.25,4,;273;274;275;276,";London, england;Addis Ababa, Ethiopia;Rwanda;Addis Ababa, Ethiopia",0,,,,0,0,0,,,0,,
97,97;98,96.0;97.0,"Addis Ababa, Ethiopia",4,1/1/1900 3:20,1/1/1900 3:28,"['00', '08', '28']",8.466666667,16,;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292,";Rwanda;Rwandan Embassy, Addis Ababa, Ethiopia;Rwandan Embassy, Addis Ababa, Ethiopia;Rwanda;Democratic Republic of Congo;Democratic Republic of Congo;Democratic Republic of Congo;Rwanda;Lumumbashi, Congo;Rwanda;Democratic Republic of Congo;Rwandan Embassy, Addis Ababa, Ethiopia;China;Paris, France;Tripoli, Libya;Paris, France",0,,,,0,0,0,,,3,;278;279;288,";Rwandan Embassy, Addis Ababa, Ethiopia;Rwandan Embassy, Addis Ababa, Ethiopia;Rwandan Embassy, Addis Ababa, Ethiopia"
99,99,98,Rwanda,6,1/1/1900 3:28,1/1/1900 3:29,"['00', '00', '12']",0.2,3,;293;294;295,";Addis Ababa, Ethiopia;Tripoli, Libya;Rwanda",1,;295,;Rwanda,;0 days 00:00:10,0 days 00:00:10,0.833333333,0,,,0,,
100,100,99,"Butare, Rwanda",4,1/1/1900 3:29,1/1/1900 3:31,"['00', '02', '00']",2,8,;296;297;298;299;300;301;302;303,";Rwanda;Libya;Kigali, Rwanda;Kigali, Rwanda;Kibuye, Rwanda;Butare, Rwanda;Kibuye, Rwanda;Addis Ababa, Ethiopia",1,;301,";Butare, Rwanda",;0 days 00:01:10,0 days 00:01:10,0.583333333,1,;296,;Rwanda,0,,
101,101;102;103,100.0;101.0;102.0,"Tripoli, Libya",4,1/1/1900 3:31,1/1/1900 3:41,"['00', '10', '23']",10.38333333,20,;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323,";Tripoli, Libya;Tripoli, Libya;University of Benghazi, Libya;Rwanda;Addis Ababa, Ethiopia;Libya;Libya;Tripoli, Libya;Libya;North Africa;Libya;Tripoli, Libya;Ethiopia;Ethiopia;Libya;Libya;Libya;Democratic Republic of Congo;Ethiopia;Rwanda",4,;304;305;311;315,";Tripoli, Libya;Tripoli, Libya;Tripoli, Libya;Tripoli, Libya",;0 days 00:00:03;0 days 00:00:07;0 days 00:04:37;0 days 00:06:00,0 days 00:00:03,0.004815409,7,;309;310;312;314;318;319;320,;Libya;Libya;Libya;Libya;Libya;Libya;Libya,0,,
104,104,103,_end,8,1/1/1900 3:41,1/1/1900 3:41,"['00', '00', '12']",0.2,0,,,0,,,,0,0,0,,,0,,
105,105,104,Democratic Republic of Congo,6,1/1/1900 3:41,1/1/1900 3:43,"['00', '01', '50']",1.833333333,8,;324;325;326;327;328;329;330;331,";Democratic Republic of Congo;Burundi;Democratic Republic of Congo;Burundi;Democratic Republic of Congo;Europe;Democratic Republic of Congo;Addis Ababa, Ethiopia",4,;324;326;328;330,;Democratic Republic of Congo;Democratic Republic of Congo;Democratic Republic of Congo;Democratic Republic of Congo,;0 days 00:00:07;0 days 00:00:35;0 days 00:00:46;0 days 00:01:44,0 days 00:00:07,0.063636364,0,,,0,,
