id,Session #,Story units #,Clip time start (h:mm:ss),Clip time end (h:mm:ss),Cumulative Time start (h:mm:ss),Cumulative Time end (h:mm:ss),Atlascine-location,location,Scale,Journey
105,2,103,0:04:15,0:06:05,3:41:35,3:43:25,Democratic Republic of Congo,Democratic Republic of Congo,country,
106,2,104,0:06:05,0:07:50,3:43:25,3:45:10,"Addis Ababa, Ethiopia","Addis Ababa, Ethiopia",city / area,
107,2,105,0:07:50,0:09:07,3:45:10,3:46:27,Uganda,Uganda,country,
108,2,106,0:09:07,0:12:40,3:46:27,3:50:00,Democratic Republic of Congo,"North Kivu, Democratic Republic of Congo",local,
109,2,107,0:12:40,0:14:00,3:50:00,3:51:20,Burundi,Burundi,local,
110,2,108,0:14:00,0:14:22,3:51:20,3:51:42,_end,none,,
111,2,109,0:14:22,0:16:10,3:51:42,3:53:30,_end,none,,
112,2,110,0:16:10,0:19:30,3:53:30,3:56:50,Democratic Republic of Congo,Democratic Republic of Congo,country,
113,2,111,0:19:30,0:20:45,3:56:50,3:58:05,African Great lakes ,African Great Lakes,country,
114,2,112,0:20:45,0:23:40,3:58:05,4:01:00,Rwanda,Rwanda,country,
115,2,113,0:23:40,0:23:55,4:01:00,4:01:15,_end,none,,
116,2,114,0:23:55,0:28:40,4:01:15,4:06:00,Rwanda,Rwanda,country,
117,2,115,0:28:40,0:31:53,4:06:00,4:09:13,"Montreal, Canada","Montreal, Canada",country,
118,3,116,0:31:53,0:33:02,4:09:13,4:10:22,"Addis Ababa, Ethiopia","Addis Ababa, Ethiopia",city / area,
119,3,117,0:33:02,0:35:10,4:10:22,4:12:30,"Addis Ababa, Ethiopia","Addis Ababa, Ethiopia",city / area,
120,3,118,0:35:10,0:35:15,4:12:30,4:12:35,Libya,Libya,country,
121,3,119,0:35:15,0:37:50,4:12:35,4:15:10,Libya,Libya,country,
122,3,120,0:37:50,0:38:05,4:15:10,4:15:25,Libya,Libya,country,
123,3,121,0:38:05,0:41:20,4:15:25,4:18:40,Libya,Libya,country,
124,3,122,0:41:20,0:41:25,4:18:40,4:18:45,Libya,Libya,country,
125,3,123,0:41:25,0:43:40,4:18:45,4:21:00,Libya,Libya,country,
126,3,124,0:43:40,0:44:15,4:21:00,4:21:35,Canada,Canada,country,
127,3,125,0:44:15,0:49:50,4:21:35,4:27:10,"Kibuye, Rwanda","Kibuye, Rwanda",local,
128,3,126,0:49:50,0:51:40,4:27:10,4:29:00,"Gisenyi, Rwanda","Gisenyi, Rwanda",city / area,
129,3,127,0:51:40,0:55:10,4:29:00,4:32:30,"Montreal, Canada","Montreal, Canada",city / area,
130,3,128,0:55:10,1:04:05,4:32:30,4:41:25,"Ottawa, Canada","Ottawa, Canada",city / area,
131,3,129,1:04:05,1:04:15,4:41:25,4:41:35,"Ottawa, Canada","Ottawa, Canada",city / area,
132,3,130,1:04:15,1:04:58,4:41:35,4:42:18,"Montreal, Canada","Montreal, Canada",city / area,
133,3,131,1:04:58,,4:42:18,4:54:15,"Ottawa, Canada","Ottawa, Canada",city / area,
134,3,132,,,4:54:15,4:54:31,Rwanda,Rwanda,country,
135,3,133,,,4:54:31,4:55:50,Rwanda,Rwanda,country,
136,3,134,,,4:55:50,4:58:00,"Kigali, Rwanda","Kigali, Rwanda",city / area,
137,3,135,,,4:58:00,4:59:05,"Ottawa, Canada","Ottawa, Canada",city / area,
138,3,136,,,4:59:05,5:01:53,Rwanda,Rwanda,country,
139,3,137,,,5:01:53,5:02:03,Rwanda,Rwanda,country,
140,3,138,,,5:02:03,5:04:30,"Kigali, Rwanda","Kigali, Rwanda",city / area,
141,3,139,,,5:04:30,5:06:27,"Ottawa, Canada","Ottawa, Canada",city / area,
142,3,140,,,5:06:27,5:06:38,_end,none,,
143,3,141,,,5:06:38,5:10:16,"Ottawa, Canada","Ottawa, Canada",city / area,
